Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,6,137,1,Some Random Commen with Id 0
1,1,6,11,2,Some Random Commen with Id 1
2,1,6,66,8,Some Random Commen with Id 2
3,1,6,198,7,Some Random Commen with Id 3
4,1,6,73,9,Some Random Commen with Id 4
5,1,6,61,5,Some Random Commen with Id 5
6,1,6,30,0,Some Random Commen with Id 6
7,1,6,191,6,Some Random Commen with Id 7
8,3,0,64,1,Some Random Commen with Id 8
9,4,9,16,9,Some Random Commen with Id 9
10,4,9,157,7,Some Random Commen with Id 10
11,4,9,19,4,Some Random Commen with Id 11
12,5,9,32,8,Some Random Commen with Id 12
13,5,9,121,8,Some Random Commen with Id 13
14,5,9,144,3,Some Random Commen with Id 14
15,5,9,155,2,Some Random Commen with Id 15
16,5,9,83,7,Some Random Commen with Id 16
17,5,9,98,2,Some Random Commen with Id 17
18,5,9,171,1,Some Random Commen with Id 18
19,5,9,12,2,Some Random Commen with Id 19
20,6,1,24,9,Some Random Commen with Id 20
21,6,1,196,8,Some Random Commen with Id 21
22,6,1,101,7,Some Random Commen with Id 22
23,6,1,56,2,Some Random Commen with Id 23
24,6,1,77,2,Some Random Commen with Id 24
25,7,4,192,8,Some Random Commen with Id 25
26,7,4,194,8,Some Random Commen with Id 26
27,7,4,117,8,Some Random Commen with Id 27
28,8,7,91,0,Some Random Commen with Id 28
29,8,7,82,1,Some Random Commen with Id 29
30,8,7,198,3,Some Random Commen with Id 30
31,8,7,141,8,Some Random Commen with Id 31
32,8,7,110,7,Some Random Commen with Id 32
33,8,7,182,7,Some Random Commen with Id 33
34,8,7,185,4,Some Random Commen with Id 34
35,8,7,156,6,Some Random Commen with Id 35
36,9,6,86,7,Some Random Commen with Id 36
37,9,6,102,3,Some Random Commen with Id 37
38,9,6,48,1,Some Random Commen with Id 38
39,9,6,13,6,Some Random Commen with Id 39
40,9,6,163,7,Some Random Commen with Id 40
41,9,6,59,4,Some Random Commen with Id 41
42,9,6,82,1,Some Random Commen with Id 42
43,9,6,114,2,Some Random Commen with Id 43
44,9,6,72,0,Some Random Commen with Id 44
45,10,8,144,9,Some Random Commen with Id 45
46,11,1,68,0,Some Random Commen with Id 46
47,14,7,190,7,Some Random Commen with Id 47
48,14,7,61,6,Some Random Commen with Id 48
49,14,7,8,8,Some Random Commen with Id 49
50,15,7,159,9,Some Random Commen with Id 50
51,15,7,128,6,Some Random Commen with Id 51
52,15,7,23,4,Some Random Commen with Id 52
53,15,7,100,3,Some Random Commen with Id 53
54,15,7,35,1,Some Random Commen with Id 54
55,15,7,28,7,Some Random Commen with Id 55
56,15,7,143,8,Some Random Commen with Id 56
57,15,7,4,8,Some Random Commen with Id 57
58,18,6,76,3,Some Random Commen with Id 58
59,18,6,44,7,Some Random Commen with Id 59
60,18,6,149,2,Some Random Commen with Id 60
61,18,6,79,8,Some Random Commen with Id 61
62,19,4,138,9,Some Random Commen with Id 62
63,19,4,135,9,Some Random Commen with Id 63
64,19,4,115,5,Some Random Commen with Id 64
65,19,4,148,7,Some Random Commen with Id 65
66,19,4,53,7,Some Random Commen with Id 66
67,19,4,182,0,Some Random Commen with Id 67
68,19,4,158,5,Some Random Commen with Id 68
69,19,4,72,3,Some Random Commen with Id 69
70,20,1,164,2,Some Random Commen with Id 70
71,20,1,40,6,Some Random Commen with Id 71
72,20,1,189,8,Some Random Commen with Id 72
73,20,1,84,4,Some Random Commen with Id 73
74,20,1,178,2,Some Random Commen with Id 74
75,20,1,72,5,Some Random Commen with Id 75
76,21,0,112,2,Some Random Commen with Id 76
77,21,0,44,1,Some Random Commen with Id 77
78,21,0,58,2,Some Random Commen with Id 78
79,22,3,124,8,Some Random Commen with Id 79
80,22,3,80,6,Some Random Commen with Id 80
81,22,3,98,1,Some Random Commen with Id 81
82,22,3,113,4,Some Random Commen with Id 82
83,22,3,165,2,Some Random Commen with Id 83
84,22,3,118,3,Some Random Commen with Id 84
85,23,1,19,8,Some Random Commen with Id 85
86,23,1,170,1,Some Random Commen with Id 86
87,23,1,136,7,Some Random Commen with Id 87
88,23,1,112,6,Some Random Commen with Id 88
89,23,1,154,1,Some Random Commen with Id 89
90,23,1,37,0,Some Random Commen with Id 90
91,23,1,147,6,Some Random Commen with Id 91
92,25,5,194,1,Some Random Commen with Id 92
93,25,5,4,0,Some Random Commen with Id 93
94,25,5,63,4,Some Random Commen with Id 94
95,25,5,97,5,Some Random Commen with Id 95
96,25,5,175,5,Some Random Commen with Id 96
97,25,5,12,0,Some Random Commen with Id 97
98,25,5,39,6,Some Random Commen with Id 98
99,25,5,114,6,Some Random Commen with Id 99
100,26,4,76,4,Some Random Commen with Id 100
101,26,4,59,9,Some Random Commen with Id 101
102,26,4,176,2,Some Random Commen with Id 102
103,26,4,134,1,Some Random Commen with Id 103
104,26,4,33,5,Some Random Commen with Id 104
105,28,0,21,9,Some Random Commen with Id 105
106,28,0,184,7,Some Random Commen with Id 106
107,30,3,38,0,Some Random Commen with Id 107
108,30,3,34,1,Some Random Commen with Id 108
109,30,3,77,1,Some Random Commen with Id 109
110,30,3,30,4,Some Random Commen with Id 110
111,30,3,56,8,Some Random Commen with Id 111
112,30,3,81,9,Some Random Commen with Id 112
113,30,3,100,4,Some Random Commen with Id 113
114,30,3,59,5,Some Random Commen with Id 114
115,31,3,169,9,Some Random Commen with Id 115
116,31,3,174,2,Some Random Commen with Id 116
117,31,3,130,4,Some Random Commen with Id 117
118,31,3,56,7,Some Random Commen with Id 118
119,31,3,103,3,Some Random Commen with Id 119
120,31,3,170,3,Some Random Commen with Id 120
121,32,3,126,6,Some Random Commen with Id 121
122,32,3,181,2,Some Random Commen with Id 122
123,32,3,60,7,Some Random Commen with Id 123
124,32,3,186,8,Some Random Commen with Id 124
125,32,3,160,3,Some Random Commen with Id 125
126,32,3,140,9,Some Random Commen with Id 126
127,32,3,111,9,Some Random Commen with Id 127
128,32,3,8,0,Some Random Commen with Id 128
129,33,1,39,7,Some Random Commen with Id 129
130,33,1,60,3,Some Random Commen with Id 130
131,33,1,80,8,Some Random Commen with Id 131
132,33,1,22,8,Some Random Commen with Id 132
133,33,1,142,3,Some Random Commen with Id 133
134,33,1,160,1,Some Random Commen with Id 134
135,33,1,129,8,Some Random Commen with Id 135
136,33,1,148,0,Some Random Commen with Id 136
137,33,1,128,3,Some Random Commen with Id 137
138,34,9,20,1,Some Random Commen with Id 138
139,34,9,175,5,Some Random Commen with Id 139
140,34,9,199,4,Some Random Commen with Id 140
141,34,9,137,6,Some Random Commen with Id 141
142,35,1,145,2,Some Random Commen with Id 142
143,35,1,16,3,Some Random Commen with Id 143
144,35,1,65,2,Some Random Commen with Id 144
